"","X","bref_season","min_playerid","season","Name","Age","LevEq","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","Bryant"
"1",1,"akins-001nic_2011","akins-001nic",2011,"Nick Akins",23,0.5,92,380,327,47,75,12,3,14,51,1,2,41,85,0.229,0.324,0.413,0.737,"Similar Player"
"2",2,"akins-001nic_2012","akins-001nic",2012,"Nick Akins",24,1,84,333,291,44,70,14,1,10,32,11,6,33,68,0.241,0.328,0.399,0.727,"Similar Player"
"3",3,"braun-001rya_2007","braun-001rya",2007,"Ryan Braun",23,3.5,147,626,568,119,186,38,6,44,119,19,8,44,123,0.327,0.38,0.648,1.028,"Similar Player"
"4",4,"braun-001rya_2008","braun-001rya",2008,"Ryan Braun",24,4,151,663,611,92,174,39,7,37,106,14,4,42,129,0.285,0.335,0.553,0.888,"Similar Player"
"5",5,"braun-001rya_2009","braun-001rya",2009,"Ryan Braun",25,4,158,708,635,113,203,39,6,32,114,20,6,57,121,0.32,0.386,0.551,0.937,"Similar Player"
"6",6,"braun-001rya_2010","braun-001rya",2010,"Ryan Braun",26,4,157,685,619,101,188,45,1,25,103,14,3,56,105,0.304,0.365,0.501,0.866,"Similar Player"
"7",7,"braun-001rya_2011","braun-001rya",2011,"Ryan Braun",27,4,150,629,563,109,187,38,6,33,111,33,6,58,93,0.332,0.397,0.597,0.994,"Similar Player"
"8",8,"braun-001rya_2012","braun-001rya",2012,"Ryan Braun",28,4,154,677,598,108,191,36,3,41,112,30,7,63,128,0.319,0.391,0.595,0.987,"Similar Player"
"9",9,"braun-001rya_2013","braun-001rya",2013,"Ryan Braun",29,4,61,253,225,30,67,14,2,9,38,4,5,27,56,0.298,0.372,0.498,0.869,"Similar Player"
"10",10,"braun-001rya_2014","braun-001rya",2014,"Ryan Braun",30,4,135,580,530,68,141,30,6,19,81,11,5,41,113,0.266,0.324,0.453,0.777,"Similar Player"
"11",11,"darnel001jam_2010","darnel001jam",2010,"James Darnell",23,1.5,108,458,398,51,108,25,1,11,58,2,0,49,68,0.271,0.359,0.422,0.781,"Similar Player"
"12",12,"darnel001jam_2011","darnel001jam",2011,"James Darnell",24,3.25,129,553,467,84,141,31,1,24,86,3,1,73,85,0.302,0.396,0.527,0.922,"Similar Player"
