Year,3DO,Apple II,Arcade,Atari 2600,Atari Jaguar,Commodore 64,DOS,Game Boy,Game Boy Advance,Game Boy Color,Linux,Macintosh,NES,Nintendo 3DS,Nintendo 64,Nintendo DS,Nintendo DSi,Nintendo GameCube,Nintendo Wii,Nintendo Wii U,PlayStation,PlayStation 2,PlayStation 3,PlayStation 4,PSP,PS Vita,SEGA CD,Sega Dreamcast,Sega Game Gear,Sega Genesis,Sega Master System,Sega Saturn,SNES,Virtual Boy,Windows,Xbox,Xbox 360,Xbox One
1971,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,14,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,1,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,17,11,18,,16,4,1,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,2,,,
1979,,23,23,12,,16,6,1,,,,,2,,,,,,1,,,,1,,1,,,,,,,,1,,1,,,
1980,,47,34,27,,36,9,2,1,,1,2,2,1,,,,,3,1,,,1,,1,,,,1,,,,,,2,,1,
1981,,94,46,36,,53,26,3,1,4,,5,7,3,,,,,4,2,,,1,,1,,,,1,2,1,,2,,4,1,5,
1982,,123,60,140,,148,93,3,3,2,1,12,15,4,,,,,8,3,,,,,,,,,1,,2,,1,,9,,5,
1983,2,111,58,148,2,422,97,2,6,1,1,22,30,8,,1,1,1,16,10,,,1,,1,,2,,1,,1,,1,,9,,4,
1984,,126,65,17,,520,97,10,7,4,,30,54,10,,,,1,25,14,,,3,,1,,2,,4,3,9,,1,,7,,4,
1985,,115,68,2,,409,120,4,5,1,,37,65,19,,,,,32,17,,,8,,3,,2,,1,1,12,1,1,,7,,8,
1986,1,106,76,6,,472,254,7,11,1,2,42,124,22,,1,,,45,21,,,9,1,3,,,,5,5,35,2,2,,14,,3,
1987,,136,81,11,,579,301,9,6,2,2,49,158,21,,,,,48,16,2,1,6,,4,,,,4,13,38,,2,,8,,5,
1988,,88,82,8,,482,337,6,2,2,5,41,147,17,,,,,55,18,4,,4,,3,1,3,,2,32,36,4,6,,15,,2,
1989,,59,101,6,,369,455,33,2,1,2,57,146,12,,,,,52,16,5,,9,,7,,3,,14,70,33,3,19,,26,,4,
1990,,18,88,5,1,244,483,94,3,4,5,48,213,26,,,,,55,17,3,,6,,6,1,9,,13,92,36,1,40,,48,,2,
1991,8,12,92,,2,224,546,98,5,5,5,66,226,25,,1,1,,61,18,9,1,10,,4,2,20,,43,119,28,5,81,,64,,2,
1992,12,6,71,4,4,158,575,97,4,7,11,68,265,21,1,1,,,58,20,13,,14,,10,2,38,,49,144,35,3,167,,92,,4,
1993,28,,66,,10,58,596,68,9,4,12,99,274,12,1,,,,61,21,22,1,8,,5,1,58,,54,167,35,19,231,,158,,3,
1994,61,3,71,,18,23,635,66,11,2,16,124,294,8,1,1,,,57,20,63,1,14,,14,9,50,1,62,157,18,52,282,,236,,3,
1995,42,2,68,1,23,9,574,46,8,4,8,202,174,9,4,3,3,,37,12,151,1,34,,34,24,13,3,47,99,13,145,172,20,427,,5,
1996,10,,75,1,4,3,527,28,4,5,18,185,60,6,15,,,,33,8,241,,43,,42,35,1,3,9,31,7,164,60,2,602,,3,
1997,,2,43,1,3,8,312,19,1,15,16,145,22,5,50,,,,13,3,281,2,56,,57,54,,4,1,8,2,109,22,,718,,2,
1998,,,51,6,,2,150,29,5,34,28,139,5,7,90,,,1,12,3,316,3,64,,62,50,,35,,2,,65,5,,821,,6,
1999,,,52,2,1,3,70,1,5,107,26,149,8,5,100,2,,2,10,4,338,19,71,,69,59,,114,,,,7,8,,832,1,3,
2000,,1,39,3,3,1,34,2,7,161,31,135,3,11,64,1,,6,9,,331,116,37,1,38,30,,135,,,,2,3,,953,8,5,
2001,,,27,8,,3,39,,129,95,26,131,,11,6,2,,47,2,17,163,210,28,1,18,16,,66,,2,,,,,885,64,8,
2002,,1,24,24,1,,16,,207,8,34,158,,3,,4,1,150,5,9,120,317,27,,18,10,1,17,,1,,,,,992,179,7,
2003,,,17,14,,2,10,,144,1,42,166,,1,,2,,141,2,12,42,362,25,,10,6,,11,,,,,,,997,202,15,
2004,,1,10,6,,2,10,,104,,42,157,,4,,22,,87,17,10,13,390,24,,24,4,1,5,,,,,,,975,199,14,
2005,,,16,12,1,1,9,,113,,39,133,2,2,,95,2,92,17,8,2,411,27,,104,1,1,5,,1,,,1,,939,200,52,
2006,,,15,11,,1,1,,68,,36,129,,2,,135,3,35,62,2,1,316,46,2,166,4,,4,,,,,,,1119,100,137,
2007,,,9,10,,3,5,,15,,39,175,,1,,209,3,5,149,,2,237,127,,134,1,,2,,,,,,,1091,4,196,
2008,,,4,2,,19,2,,,,45,259,,2,,237,15,,191,1,1,171,219,4,85,1,,,,1,,,,,1203,1,242,
2009,,,6,,,2,,,,,59,296,,7,,143,37,,185,6,,71,257,4,107,8,,6,,,,,,,1078,,357,
2010,,1,8,1,,2,,,,,59,320,,9,,65,25,,134,9,,12,285,6,58,11,,2,,1,,,,,937,,442,3
2011,,,3,2,,4,1,,,,85,301,1,76,,17,5,,89,10,,3,397,11,54,26,,,,,1,,,,809,,390,6
2012,,1,4,,,3,,,,,120,304,2,96,,9,1,,68,68,1,3,408,18,14,70,,1,,,,,,,871,,403,5
2013,,1,2,1,,5,1,,,,196,365,1,107,,,,,74,123,,1,373,109,4,54,,2,,,,,1,,801,,345,98
2014,,1,3,,,,1,,,,120,197,1,60,,,,,37,67,,,182,157,,39,,1,,,,,,,512,,146,140
2015,,,,,,,,,,,23,38,,4,,,,,4,4,,,27,34,,3,,,,,,,,,76,,17,32
