STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,SCHOOLID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
WISCONSIN,ACADEMY OF ACCELERATED LEARNING,5509600,5509600,550960001239,235,49,153,175,5,20,1220,24,85,9,6,22
WISCONSIN,ALBA - ACADEMIA DE LENGUAJE Y BELLAS ARTES,5509600,5509600,550960003371,4,1,486,0,0,2,659,221,77,49,7,63
WISCONSIN,ALCOTT ELEMENTARY,5509600,5509600,550960001121,143,64,107,15,5,10,2017,12,73,41,7,40
WISCONSIN,ALLEN-FIELD ELEMENTARY,5509600,5509600,550960001122,15,67,567,3,2,4,1003,10,48,6,1,15
WISCONSIN,ALLIANCE SCHOOL OF MILWAUKEE,5509600,5509600,550960002603,38,108,34,9,5,6,506,2,20,10,140,6
WISCONSIN,ANDREW DOUGLAS SCHOOL,5509600,5509600,550960003056,0,0,0,0,0,0,1220,24,85,9,6,22
WISCONSIN,ASSATA HIGH,5509600,5509600,550960000792,2,106,0,0,0,0,985,12,102,5,4,33
WISCONSIN,AUDUBON TECHNOLOGY AND COMMUNICATION HIGH SCHOOL,5509600,5509600,550960002782,76,51,220,13,9,2,908,7,62,10,3,22
WISCONSIN,AUDUBON TECHNOLOGY AND COMMUNICATION MIDDLE SCHOOL,5509600,5509600,550960001123,49,105,395,11,10,9,955,6,85,5,4,31
WISCONSIN,AUER AVENUE ELEMENTARY,5509600,5509600,550960001124,1,242,11,0,1,0,1125,24,278,24,1,29
WISCONSIN,BANNER PREPARATORY SCHOOL OF MILWAUKEE,5509600,5509600,550960002707,1,48,0,0,0,2,349,3,114,5,4,7
WISCONSIN,BARBEE ELEMENTARY,5509600,5509600,550960001170,10,294,20,3,0,15,444,6,20,18,1,16
WISCONSIN,BARTON ELEMENTARY,5509600,5509600,550960001126,7,255,18,12,3,9,453,1,61,3,2,14
WISCONSIN,BAY VIEW HIGH,5509600,5509600,550960001127,105,423,235,25,17,15,310,0,14,1,0,10
WISCONSIN,BETHUNE ACADEMY,5509600,5509600,550960001256,6,332,14,168,0,8,149,0,4,0,0,4
WISCONSIN,BRADLEY TECHNOLOGY HIGH,5509600,5509600,550960001218,32,632,156,6,4,16,169,0,9,3,0,1
WISCONSIN,BROWN STREET ACADEMY,5509600,5509600,550960002395,4,292,5,0,0,8,688,3,57,4,0,19
WISCONSIN,BROWNING ELEMENTARY,5509600,5509600,550960001132,10,242,10,2,0,2,88,5,8,2,0,4
WISCONSIN,BRUCE ELEMENTARY,5509600,5509600,550960001133,8,179,9,13,0,6,356,1,19,1,0,3
WISCONSIN,BRUCE GUADALUPE,5500059,5509600,550005900772,23,1,1209,1,0,1,9,0,23,0,400,67
WISCONSIN,BRYANT ELEMENTARY,5509600,5509600,550960001134,3,219,11,11,3,5,230,0,25,0,0,8
WISCONSIN,BURBANK ELEMENTARY,5509600,5509600,550960001135,106,234,98,173,9,28,311,61,43,45,1,25
WISCONSIN,BURDICK ELEMENTARY,5509600,5509600,550960001136,374,49,196,22,7,11,591,102,47,64,2,41
WISCONSIN,BUSINESS AND ECONOMICS ACADEMY OF MILWAUKEE,5509600,5509600,550960002498,6,629,10,1,1,4,161,0,31,0,0,3
WISCONSIN,CAPITOL WEST ACADEMY,5500114,5509600,550011403355,5,267,3,6,0,6,484,3,78,0,2,8
WISCONSIN,CARMEN HI SOUTHEAST CAMPUS,5509600,5509600,550960003054,6,7,155,0,0,1,519,360,68,62,5,44
WISCONSIN,CARMEN HIGH SCHOOL OF SCIENCE AND TECHNOLOGY SOUTH CAMPUS,5509600,5509600,550960002755,10,7,341,0,0,0,1487,32,197,16,2,40
WISCONSIN,CARMEN MID/HI NORTHWEST CAMPUS,5509600,5509600,550960002980,29,513,67,14,4,3,1005,10,69,26,4,34
WISCONSIN,CARSON ACADEMY,5509600,5509600,550960001829,5,420,8,2,1,11,1412,20,534,23,3,47
WISCONSIN,CARVER ACADEMY,5509600,5509600,550960002602,1,410,16,1,3,5,73,5,28,0,1,1
WISCONSIN,CASS STREET ELEMENTARY,5509600,5509600,550960001139,6,368,24,8,4,9,98,4,10,1,1,3
WISCONSIN,CENTRAL CITY CYBERSCHOOL,5500041,5509600,550004102171,0,412,6,0,0,1,401,2,14,22,0,10
WISCONSIN,CLARKE STREET ELEMENTARY,5509600,5509600,550960001140,2,291,6,3,1,4,448,7,26,41,0,6
WISCONSIN,CLEMENS ELEMENTARY,5509600,5509600,550960001141,2,260,4,1,4,4,301,1,6,4,0,29
WISCONSIN,CLEMENT AVENUE ELEMENTARY,5509600,5509600,550960001142,205,43,143,14,5,22,805,4,29,9,1,12
WISCONSIN,COMMUNITY HIGH SCHOOL,5509600,5509600,550960003370,9,203,11,2,4,7,360,0,5,6,0,2
WISCONSIN,CONGRESS ELEMENTARY,5509600,5509600,550960001143,7,708,10,5,1,6,488,1,21,8,33,12
WISCONSIN,COOPER ELEMENTARY,5509600,5509600,550960001144,204,39,135,43,5,5,73,0,12,2,0,3
WISCONSIN,CRAIG MONTESSORI SCHOOL,5509600,5509600,550960001045,16,366,12,29,8,13,228,3,30,8,0,12
WISCONSIN,CURTIN ELEMENTARY,5509600,5509600,550960001146,46,44,179,29,4,9,625,9,18,6,3,4
WISCONSIN,DANIELS UNIVERSITY PREPARATORY ACADEMY,5509600,5509600,550960002870,0,221,1,1,0,1,374,5,37,4,1,8
WISCONSIN,DARRELL LYNN HINES ACADEMY,5500047,5509600,550004702536,1,245,9,18,0,9,162,2,5,0,1,3
WISCONSIN,DOERFLER ELEMENTARY,5509600,5509600,550960001148,51,62,526,13,12,11,166,1,1,2,0,7
WISCONSIN,DOWNTOWN MONTESSORI,5500039,5509600,550003902153,183,22,45,18,2,2,369,2,13,4,0,7
WISCONSIN,EIGHTY-FIRST STREET ELEMENTARY,5509600,5509600,550960001154,29,251,32,22,2,17,826,21,93,11,2,16
WISCONSIN,ELM CREATIVE ARTS ELEMENTARY,5509600,5509600,550960002438,8,366,12,3,1,8,214,1,56,3,0,4
WISCONSIN,EMERSON ELEMENTARY,5509600,5509600,550960001157,11,213,16,18,0,15,424,5,29,3,1,16
WISCONSIN,ENGLEBURG ELEMENTARY,5509600,5509600,550960001158,7,280,11,5,4,5,296,3,51,2,0,14
WISCONSIN,ESCUELA VERDE,5500069,5509600,550006902920,9,14,88,0,4,2,729,12,51,10,4,11
WISCONSIN,FAIRVIEW ELEMENTARY,5509600,5509600,550960001159,350,57,187,19,10,20,303,7,154,8,6,14
WISCONSIN,FELMERS O CHANEY CORRECTIONAL CENTER,5500035,5509600,550003502843,0,0,0,0,0,0,1386,13,74,19,2,41
WISCONSIN,FERNWOOD MONTESSORI,5509600,5509600,550960001160,486,42,160,13,9,29,152,1,8,3,0,5
