col_idx,row_idx,vgfreq
1,1,100
2,1,67.49
3,1,4.67
4,1,1.27
5,1,1.53
6,1,9.42
7,1,1.95
8,1,0.34
9,1,0.68
10,1,1.78
11,1,4.75
12,1,16.04
13,1,2.97
14,1,0.08
15,1,1.27
16,1,0.08
17,1,0.08
18,1,3.4
19,1,1.95
20,1,1.36
21,1,2.21
22,1,1.61
23,1,0.34
24,1,0.42
25,1,0.17
26,1,0
27,1,0.51
28,1,0.17
29,1,0.17
30,1,0.76
31,1,8.4
32,1,3.23
33,1,0
34,1,11.97
35,1,4.5
36,1,0.08
37,1,0.34
38,1,0.25
39,1,0.08
40,1,0
41,1,13.16
42,1,0
43,1,20.29
1,2,19.77
2,2,100
3,2,10.29
4,2,4.18
5,2,1.22
6,2,3.36
7,2,0.77
8,2,0.05
9,2,0.45
10,2,1.19
11,2,3.21
12,2,26.33
13,2,11.56
14,2,0.65
15,2,0.7
16,2,0.2
17,2,0.3
18,2,1.54
19,2,0.02
20,2,0.62
21,2,0.99
22,2,1.47
23,2,3.68
24,2,0.07
25,2,0.05
26,2,0.1
27,2,0.25
28,2,0.87
29,2,0.07
30,2,1.82
31,2,7.38
32,2,6.29
33,2,1.19
34,2,18.77
35,2,7.76
36,2,0.22
37,2,0.22
38,2,0.15
39,2,0.1
40,2,0.02
41,2,22.2
42,2,0.1
43,2,13.08
1,3,0.77
2,3,5.77
3,3,100
4,3,0.8
5,3,1.09
6,3,0.27
7,3,0.21
8,3,0.04
9,3,1.09
10,3,0.49
11,3,0.11
12,3,4.49
13,3,6.75
14,3,3.53
15,3,0.22
16,3,1.1
17,3,0.33
18,3,1.12
19,3,0.04
20,3,0.08
21,3,0.35
22,3,0.5
23,3,1.62
24,3,0.2
25,3,0.04
26,3,0.71
27,3,3.79
28,3,0.01
29,3,1.09
30,3,0.84
31,3,9.95
32,3,2.97
33,3,1.63
34,3,23.5
35,3,31.22
36,3,0.33
37,3,0.14
38,3,0.11
39,3,1.38
40,3,0.08
41,3,0.24
42,3,0.43
43,3,0.01
1,4,3.39
2,4,37.92
3,4,12.87
4,4,100
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0.9
10,4,4.51
11,4,0.23
12,4,0.9
13,4,9.03
