rw_id,cl_id,vgfre
1,1,1.60
1,2,11.04
1,3,37.69
1,4,2.80
1,5,1.60
1,6,0.33
1,7,0.16
1,8,0.05
1,9,2.64
1,10,2.23
1,11,1.19
1,12,12.07
1,13,12.30
1,14,7.45
1,15,0.33
1,16,2.63
1,17,1.82
1,18,5.75
1,19,0.25
1,20,0.15
1,21,0.54
1,22,0.90
1,23,3.76
1,24,0.30
1,25,0.08
1,26,1.46
1,27,2.16
1,28,1.20
1,29,0.89
1,30,3.11
1,31,15.49
1,32,6.34
1,33,2.13
1,34,36.98
1,35,47.01
1,36,2.15
1,37,2.98
1,38,2.38
1,39,2.81
1,40,0.10
1,41,0.91
1,42,0.55
1,43,0.23
2,1,14.72
2,2,24.22
2,3,1.88
2,4,0.64
2,5,0.45
2,6,0.59
2,7,0.17
2,8,0.04
2,9,3.03
2,10,2.88
2,11,24.62
2,12,17.97
2,13,0.85
2,14,0.29
2,15,0.23
2,16,0.00
2,17,0.17
2,18,12.80
2,19,22.87
2,20,13.39
2,21,3.01
2,22,0.26
2,23,0.35
2,24,0.79
2,25,0.07
2,26,0.46
2,27,0.04
2,28,0.18
2,29,0.00
2,30,1.50
2,31,50.60
2,32,2.89
2,33,0.76
2,34,18.22
2,35,1.43
2,36,1.86
2,37,0.52
2,38,1.98
2,39,0.00
2,40,0.05
2,41,1.90
2,42,0.18
2,43,14.27
3,1,1.21
3,2,2.29
3,3,11.73
3,4,0.51
3,5,12.68
3,6,3.70
3,7,1.85
3,8,1.98
3,9,1.40
3,10,0.00
3,11,7.84
3,12,6.12
3,13,1.47
3,14,2.61
3,15,5.99
3,16,0.57
3,17,2.42
3,18,2.23
3,19,2.23
3,20,1.27
3,21,1.40
3,22,7.78
3,23,0.13
3,24,1.40
3,25,5.04
3,26,2.04
3,27,0.96
3,28,0.25
3,29,1.02
3,30,0.19
3,31,50.35
3,32,8.09
3,33,6.18
3,34,9.37
3,35,5.23
3,36,2.36
3,37,0.13
3,38,0.64
3,39,1.34
3,40,0.45
3,41,4.14
3,42,0.32
3,43,0.13
4,1,6.69
4,2,41.13
4,3,1.42
4,4,2.45
4,5,0.76
4,6,1.24
4,7,0.15
4,8,0.00
4,9,1.06
4,10,3.27
4,11,1.24
4,12,66.72
4,13,4.36
4,14,0.52
4,15,0.08
4,16,0.00
4,17,0.40
4,18,2.38
4,19,2.84
4,20,1.26
4,21,0.05
4,22,2.32
4,23,1.32
4,24,0.15
4,25,0.00
4,26,0.40
4,27,0.07
4,28,9.83
4,29,0.02
4,30,4.67
4,31,6.64
4,32,21.25
4,33,0.30
4,34,21.65
4,35,5.64
4,36,0.20
4,37,0.89
4,38,0.42
4,39,0.02
4,40,0.01
4,41,48.27
4,42,0.00
4,43,0.41
5,1,1.63
5,2,6.80
5,3,41.94
5,4,1.74
5,5,3.37
5,6,1.48
5,7,1.53
5,8,0.00
5,9,3.37
5,10,3.95
5,11,2.42
5,12,3.48
5,13,8.96
5,14,8.80
5,15,0.68
5,16,2.95
5,17,0.16
5,18,2.05
5,19,0.21
5,20,0.00
5,21,0.37
5,22,3.48
5,23,0.63
5,24,0.32
5,25,0.32
5,26,3.27
5,27,1.53
5,28,1.42
5,29,0.58
5,30,7.01
5,31,10.80
5,32,5.37
5,33,1.26
5,34,34.35
5,35,40.99
5,36,3.58
5,37,2.00
5,38,0.58
5,39,4.06
5,40,0.26
5,41,1.32
5,42,0.37
5,43,0.00
6,1,4.62
6,2,9.90
6,3,6.55
6,4,2.20
6,5,3.48
6,6,3.76
6,7,5.52
6,8,0.46
6,9,0.24
6,10,0.41
6,11,1.17
6,12,3.36
6,13,1.24
6,14,27.57
6,15,2.22
6,16,6.87
6,17,12.84
6,18,0.55
6,19,0.66
6,20,0.21
6,21,0.69
6,22,25.41
6,23,0.21
6,24,1.48
6,25,0.18
6,26,6.59
6,27,0.45
6,28,2.07
6,29,2.29
6,30,1.15
6,31,5.52
6,32,20.03
6,33,3.39
6,34,17.57
6,35,15.16
6,36,1.10
6,37,0.77
6,38,0.10
6,39,4.03
6,40,2.55
6,41,8.71
6,42,0.21
6,43,0.99
7,1,1.04
7,2,10.89
7,3,28.79
7,4,0.35
7,5,6.72
7,6,3.30
7,7,1.91
7,8,0.52
7,9,0.81
7,10,0.52
7,11,0.52
7,12,5.56
7,13,15.30
7,14,3.42
7,15,1.39
7,16,1.56
7,17,0.35
7,18,1.22
7,19,0.29
7,20,0.23
7,21,0.75
7,22,33.89
7,23,4.06
7,24,0.58
7,25,0.00
7,26,1.27
7,27,4.40
7,28,0.98
7,29,0.58
7,30,0.41
7,31,8.05
7,32,6.84
7,33,2.32
7,34,12.75
7,35,11.82
7,36,0.52
7,37,1.39
7,38,0.52
7,39,1.10
7,40,0.00
7,41,7.13
7,42,0.52
7,43,0.00
8,1,3.66
8,2,10.80
8,3,6.46
8,4,2.33
8,5,12.13
8,6,9.20
8,7,2.21
8,8,2.17
8,9,0.62
8,10,0.78
8,11,0.82
8,12,15.03
8,13,1.65
8,14,1.94
8,15,1.78
8,16,0.73
8,17,11.43
8,18,0.92
8,19,0.28
8,20,0.13
8,21,0.13
8,22,12.54
8,23,0.21
8,24,0.75
8,25,0.60
8,26,3.63
8,27,0.54
8,28,1.01
8,29,0.24
8,30,1.60
8,31,30.63
8,32,31.85
8,33,0.52
8,34,17.05
8,35,4.99
8,36,0.79
8,37,0.58
8,38,0.22
8,39,2.60
8,40,0.67
8,41,26.73
8,42,0.10
8,43,0.27
