STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Oroville Union High School District,629130,629130,1101,74,435,321,149,82,1220,24,85,9,6,22
CALIFORNIA,Scott Valley Unified School District (9-12),606005,606005,NA,NA,NA,NA,NA,NA,659,221,77,49,7,63
CALIFORNIA,Anaheim Union High School District,602630,602630,3187,726,20684,5490,146,731,2017,12,73,41,7,40
CALIFORNIA,Huntington Beach Union High School District,618060,618060,6207,168,4430,4557,227,551,1003,10,48,6,1,15
CALIFORNIA,Petaluma Joint Union High School District,630250,630250,3118,66,1758,192,31,207,506,2,20,10,140,6
CALIFORNIA,San Rafael City High School District,635110,635110,868,38,1397,171,13,32,1220,24,85,9,6,22
CALIFORNIA,Tamalpais Union High School District,638790,638790,3414,110,531,351,14,273,985,12,102,5,4,33
CALIFORNIA,Perris Union High School District,630210,630210,1664,652,7700,404,26,350,908,7,62,10,3,22
CALIFORNIA,El Dorado Union High School District,612070,612070,4794,72,965,385,61,372,955,6,85,5,4,31
CALIFORNIA,Perris Union High School District (9-12),606034,606034,NA,NA,NA,NA,NA,NA,1125,24,278,24,1,29
CALIFORNIA,Wheatland Union High School District,642350,642350,364,25,223,23,9,95,349,3,114,5,4,7
CALIFORNIA,East Side Union High School District,611820,611820,1433,639,13949,10469,68,491,444,6,20,18,1,16
CALIFORNIA,Mountain View-Los Altos Union School District,626310,626310,1713,65,1069,1017,3,234,453,1,61,3,2,14
CALIFORNIA,Fremont Union High School District,614430,614430,1957,98,1634,6602,9,569,310,0,14,1,0,10
CALIFORNIA,Los Gatos-Saratoga Joint Union School District,622800,622800,1715,15,244,1050,2,342,149,0,4,0,0,4
CALIFORNIA,Campbell Union High School District,607230,607230,3148,202,2684,1368,31,377,169,0,9,3,0,1
CALIFORNIA,Taft Union High School District,638730,638730,520,8,454,14,18,20,688,3,57,4,0,19
CALIFORNIA,Wasco Union High School District,641430,641430,102,29,1712,6,1,5,88,5,8,2,0,4
CALIFORNIA,Le Grand Union High School District,621270,621270,31,4,432,3,6,27,356,1,19,1,0,3
CALIFORNIA,Merced Union High School District,624660,624660,1724,426,6962,1062,56,147,9,0,23,0,400,67
CALIFORNIA,Healdsburg Unified School District (7-12),606038,606038,NA,NA,NA,NA,NA,NA,230,0,25,0,0,8
CALIFORNIA,Corning Union High School District,609810,609810,348,6,516,8,11,53,311,61,43,45,1,25
CALIFORNIA,Red Bluff Joint Union High School District,632010,632010,1015,20,466,25,53,51,591,102,47,64,2,41
CALIFORNIA,Fullerton Joint Union High School District,614760,614760,2387,313,7787,3124,29,343,161,0,31,0,0,3
CALIFORNIA,Chaffey Joint Union High School District,608160,608160,4043,1919,15213,2048,93,578,484,3,78,0,2,8
CALIFORNIA,Trinity Alps Unified School District (9-12),606006,606006,NA,NA,NA,NA,NA,NA,519,360,68,62,5,44
CALIFORNIA,Hamilton Unified School District (9-12),606025,606025,NA,NA,NA,NA,NA,NA,1487,32,197,16,2,40
CALIFORNIA,Twin Rivers Unified School District (9-12),606003,606003,NA,NA,NA,NA,NA,NA,1005,10,69,26,4,34
CALIFORNIA,Twin Rivers Unified School District (7-12),606004,606004,NA,NA,NA,NA,NA,NA,1412,20,534,23,3,47
CALIFORNIA,West Sonoma County Union High School District,602670,602670,1374,25,405,68,17,55,73,5,28,0,1,1
CALIFORNIA,Santa Rosa High School District,635830,635830,4098,252,5362,794,93,664,98,4,10,1,1,3
CALIFORNIA,Lassen Union High School District,621060,621060,562,19,123,40,60,2,401,2,14,22,0,10
CALIFORNIA,Woodlake Unified School District (9-12),606026,606026,NA,NA,NA,NA,NA,NA,448,7,26,41,0,6
CALIFORNIA,Exeter Unified School District (9-12),606028,606028,NA,NA,NA,NA,NA,NA,301,1,6,4,0,29
CALIFORNIA,Santa Maria Joint Union High School District,635670,635670,780,80,6599,259,23,117,805,4,29,9,1,12
CALIFORNIA,Santa Ynez Valley Union High School District,635850,635850,492,2,408,5,10,39,360,0,5,6,0,2
CALIFORNIA,Dunsmuir Joint Union High School District,611700,611700,39,2,15,0,3,6,488,1,21,8,33,12
CALIFORNIA,Kingsburg Joint Union High School District,619830,619830,383,7,703,37,6,24,73,0,12,2,0,3
CALIFORNIA,San Benito High School District,634140,634140,765,12,2149,73,6,38,228,3,30,8,0,12
CALIFORNIA,Northern Humboldt Union High School District,603030,603030,1202,13,184,37,90,213,625,9,18,6,3,4
CALIFORNIA,Fortuna Union High School District,614190,614190,664,4,272,22,47,96,374,5,37,4,1,8
CALIFORNIA,Centinela Valley Union High School District,607920,607920,237,1242,5527,318,14,234,162,2,5,0,1,3
CALIFORNIA,William S. Hart Union High School District,642510,642510,10403,1279,10650,2893,83,1514,166,1,1,2,0,7
CALIFORNIA,Chowchilla Union High School District,608550,608550,370,21,642,23,9,8,369,2,13,4,0,7
CALIFORNIA,Gonzales Unified School District (9-12),606053,606053,NA,NA,NA,NA,NA,NA,826,21,93,11,2,16
CALIFORNIA,Modesto City High School District,625150,625150,4067,537,8547,1083,57,1097,214,1,56,3,0,4
CALIFORNIA,Washington Unified School District (9-12),606018,606018,NA,NA,NA,NA,NA,NA,424,5,29,3,1,16
CALIFORNIA,Dinuba Unified School District (9-12),606016,606016,NA,NA,NA,NA,NA,NA,296,3,51,2,0,14
CALIFORNIA,Jefferson Union High School District,618930,618930,750,99,1367,2231,11,404,729,12,51,10,4,11
CALIFORNIA,Victor Valley Union High School District,636972,636972,2113,2480,8020,453,158,819,303,7,154,8,6,14
CALIFORNIA,Santa Barbara Unified School District (7-12),606019,606019,NA,NA,NA,NA,NA,NA,1386,13,74,19,2,41
