state,year,incidence
Ala.,1928,334.99
Ala.,1929,111.93
Ala.,1930,157
Ala.,1931,337.29
Ala.,1932,10.21
Ala.,1933,65.22
Ala.,1934,590.27
Ala.,1935,265.34
Ala.,1936,20.78
Ala.,1937,22.46
Ala.,1938,496.44
Ala.,1939,182.64
Ala.,1940,115.12
Ala.,1941,297.47
Ala.,1942,126.15
Ala.,1943,130.82
Ala.,1944,252.87
Ala.,1945,27.33
Ala.,1946,126.75
Ala.,1947,127.26
Ala.,1948,69.09
Ala.,1949,368.8
Ala.,1950,50.9
Ala.,1951,103.24
Ala.,1952,351.72
Ala.,1953,93.99
Ala.,1954,280.39
Ala.,1955,69.68
Ala.,1956,231.75
Ala.,1957,299.79
Ala.,1958,242.34
Ala.,1959,108.19
Ala.,1960,63.33
Ala.,1961,78.01
Ala.,1962,71.58
Ala.,1963,34.74
Ala.,1964,533.68
Ala.,1965,68.2
Ala.,1966,52.38
Ala.,1967,38.98
Ala.,1968,4.65
Ala.,1969,0.36
Ala.,1970,13.94
Ala.,1971,55.24
Ala.,1972,4.02
Ala.,1973,0.42
Ala.,1974,0.58
Ala.,1975,0.13
Ala.,1976,0
Ala.,1977,2.06
Ala.,1978,3.43
Ala.,1979,3.35
Ala.,1980,0.57
Ala.,1981,0
Ala.,1982,0.05
Ala.,1983,0.03
Ala.,1984,0
Ala.,1985,0
Ala.,1986,0.02
Ala.,1987,0.09
Ala.,1988,0.02
Ala.,1989,1.46
Ala.,1990,0.65
Ala.,1991,0.02
Ala.,1992,0
Ala.,1993,0.02
Ala.,1994,0
Ala.,1995,0
Ala.,1996,0
Ala.,1997,0.14
Ala.,1998,0
Ala.,1999,0
Ala.,2000,0
Ala.,2001,0
Ala.,2002,0.16
Ala.,2003,0
Ala.,2004,0
Ala.,2005,0
Ala.,2006,0
Ala.,2007,0
Ala.,2008,0
Ala.,2009,0
Ala.,2010,0
Ala.,2011,0
Ala.,2012,0
Ala.,2013,0
Ala.,2014,1
Ala.,2015,0
Ala.,2016,1
Alaska,1928,0
Alaska,1929,0
Alaska,1930,0
Alaska,1931,0
Alaska,1932,0
Alaska,1933,0
